temperature,objective,cal_nll,eval_ece,eval_pos_top1_mean,eval_pos_top1_p95,eval_pos_diag_rate,eval_pos_uncertain_rate,eval_pos_invalid_rate,eval_pos_diag_acc,eval_pos_overall_acc,eval_neg_diag_rate,eval_neg_uncertain_rate,eval_neg_invalid_rate,eval_neg_top1_mean,eval_neg_top1_p95
3.2,0.5917770405175538,0.0812724158167839,0.07069034273944684,0.9286832213401794,0.9967924952507019,0.7728026533996684,0.2023217247097844,0.024875621890547265,1.0,0.9983416252072969,0.22493224932249323,0.27371273712737126,0.5013550135501355,0.6927561163902283,0.9888424277305603
3.1,0.6092618839061327,0.07385865598917007,0.06413081654071018,0.9352641701698303,0.9974765777587891,0.8126036484245439,0.16583747927031509,0.02155887230514096,1.0,0.9983416252072969,0.24119241192411925,0.27100271002710025,0.4878048780487805,0.7013304829597473,0.9907510280609131
3.0,0.6330584959279084,0.06688980013132095,0.057908014624470705,0.9415097236633301,0.9980594515800476,0.8407960199004975,0.13764510779436154,0.02155887230514096,1.0,0.9983416252072969,0.2601626016260163,0.25745257452574527,0.4823848238482385,0.710016667842865,0.9924251437187195
2.9,0.6399193127300598,0.06037423759698868,0.052035129732555814,0.9474067091941833,0.9985377788543701,0.8606965174129353,0.12106135986733002,0.01824212271973466,1.0,0.9983416252072969,0.2682926829268293,0.26558265582655827,0.46612466124661245,0.7188156843185425,0.9938778877258301
2.8,0.6696533447499101,0.05431827902793884,0.04652296206844387,0.9529443979263306,0.9989112019538879,0.8839137645107794,0.09950248756218906,0.01658374792703151,1.0,0.9983416252072969,0.2899728997289973,0.2601626016260163,0.44986449864498645,0.7277283668518066,0.9951238036155701
2.7,0.7027541938008622,0.048725780099630356,0.04138010962685543,0.958114504814148,0.9991959929466248,0.9054726368159204,0.0779436152570481,0.01658374792703151,1.0,0.9983416252072969,0.3143631436314363,0.24119241192411925,0.4444444444444444,0.7367556095123291,0.9961784482002258
2.6,0.7224351324615972,0.043598078191280365,0.036612433432346554,0.9629112482070923,0.9994279742240906,0.9237147595356551,0.05970149253731343,0.01658374792703151,1.0,0.9983416252072969,0.32791327913279134,0.24119241192411925,0.43089430894308944,0.7458982467651367,0.9970581531524658
2.5,0.7428009529622355,0.038933705538511276,0.03222271290979971,0.9673318266868591,0.9996012449264526,0.9303482587064676,0.05472636815920398,0.014925373134328358,1.0,0.9983416252072969,0.34146341463414637,0.24932249322493225,0.4092140921409214,0.7551565766334534,0.9977802634239197
2.4,0.7603142995000517,0.03472833335399628,0.028210899772533334,0.9713766574859619,0.9997314810752869,0.9469320066334992,0.03980099502487562,0.013266998341625208,1.0,0.9983416252072969,0.3523035230352303,0.26287262872628725,0.38482384823848237,0.7645306587219238,0.9983622431755066
2.3,0.7844429563744668,0.03097471594810486,0.02457354233830327,0.9750493764877319,0.9998259544372559,0.9585406301824212,0.028192371475953566,0.013266998341625208,1.0,0.9983416252072969,0.36585365853658536,0.27371273712737126,0.3604336043360434,0.7740198969841003,0.9988217949867249
2.2,0.8008276213654293,0.027662577107548714,0.021303629647835373,0.9783571362495422,0.9998912215232849,0.9651741293532339,0.02155887230514096,0.013266998341625208,1.0,0.9983416252072969,0.37398373983739835,0.2899728997289973,0.33604336043360433,0.7836229205131531,0.9991763234138489
1.35,1.1293835373651373,0.014886806719005108,0.006105509761158704,0.99403315782547,0.9999998807907104,0.9867330016583747,0.006633499170812604,0.006633499170812604,1.0,0.9983416252072969,0.5745257452574526,0.25474254742547425,0.17073170731707318,0.8689174652099609,0.9999934434890747
1.0,1.361414525449892,0.015880785882472992,0.0021069879160196233,0.996234655380249,1.0,0.9900497512437811,0.003316749585406302,0.006633499170812604,1.0,0.9983416252072969,0.7208672086720868,0.15447154471544716,0.12466124661246612,0.9043503999710083,0.9999998807907104
