rank,invalid_conf,confident_conf,margin,score,pos_diag_rate,pos_uncertain_rate,pos_invalid_rate,pos_overall_acc,pos_diag_acc,neg_diag_rate,neg_uncertain_rate,neg_invalid_rate
1,0.7,0.9,0.1,-0.4833120254139605,0.9947687224669604,0.0030286343612334803,0.0022026431718061676,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.15447154471544716,0.12466124661246612
2,0.7,0.9,0.15,-0.4833120254139605,0.9947687224669604,0.0030286343612334803,0.0022026431718061676,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.15447154471544716,0.12466124661246612
3,0.7,0.9,0.2,-0.4833120254139605,0.9947687224669604,0.0030286343612334803,0.0022026431718061676,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.15447154471544716,0.12466124661246612
4,0.7,0.9,0.25,-0.4833120254139605,0.9947687224669604,0.0030286343612334803,0.0022026431718061676,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.15447154471544716,0.12466124661246612
5,0.7,0.9,0.3,-0.4833120254139605,0.9947687224669604,0.0030286343612334803,0.0022026431718061676,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.15447154471544716,0.12466124661246612
6,0.7,0.9,0.35,-0.4833120254139605,0.9947687224669604,0.0030286343612334803,0.0022026431718061676,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.15447154471544716,0.12466124661246612
7,0.65,0.9,0.1,-0.5133543770489304,0.9947687224669604,0.003854625550660793,0.0013766519823788547,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.17073170731707318,0.10840108401084012
8,0.65,0.9,0.15,-0.5133543770489304,0.9947687224669604,0.003854625550660793,0.0013766519823788547,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.17073170731707318,0.10840108401084012
9,0.65,0.9,0.2,-0.5133543770489304,0.9947687224669604,0.003854625550660793,0.0013766519823788547,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.17073170731707318,0.10840108401084012
10,0.65,0.9,0.25,-0.5133543770489304,0.9947687224669604,0.003854625550660793,0.0013766519823788547,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.17073170731707318,0.10840108401084012
11,0.65,0.9,0.3,-0.5133543770489304,0.9947687224669604,0.003854625550660793,0.0013766519823788547,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.17073170731707318,0.10840108401084012
12,0.65,0.9,0.35,-0.5133543770489304,0.9947687224669604,0.003854625550660793,0.0013766519823788547,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.17073170731707318,0.10840108401084012
13,0.6,0.9,0.1,-0.5659029366754956,0.9947687224669604,0.004405286343612335,0.0008259911894273128,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.1978319783197832,0.08130081300813008
14,0.6,0.9,0.15,-0.5659029366754956,0.9947687224669604,0.004405286343612335,0.0008259911894273128,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.1978319783197832,0.08130081300813008
15,0.6,0.9,0.2,-0.5659029366754956,0.9947687224669604,0.004405286343612335,0.0008259911894273128,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.1978319783197832,0.08130081300813008
16,0.6,0.9,0.25,-0.5659029366754956,0.9947687224669604,0.004405286343612335,0.0008259911894273128,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.1978319783197832,0.08130081300813008
17,0.6,0.9,0.3,-0.5659029366754956,0.9947687224669604,0.004405286343612335,0.0008259911894273128,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.1978319783197832,0.08130081300813008
18,0.6,0.9,0.35,-0.5659029366754956,0.9947687224669604,0.004405286343612335,0.0008259911894273128,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.1978319783197832,0.08130081300813008
19,0.55,0.9,0.1,-0.630943587082,0.9947687224669604,0.004405286343612335,0.0008259911894273128,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.23035230352303523,0.04878048780487805
20,0.55,0.9,0.15,-0.630943587082,0.9947687224669604,0.004405286343612335,0.0008259911894273128,0.9980726872246696,0.9988928867976751,0.7208672086720868,0.23035230352303523,0.04878048780487805
