rank,invalid_conf,confident_conf,margin,score,pos_diag_rate,pos_uncertain_rate,pos_invalid_rate,pos_overall_acc,pos_diag_acc,neg_diag_rate,neg_uncertain_rate,neg_invalid_rate
1,0.35,0.9,0.1,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
2,0.35,0.9,0.15,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
3,0.35,0.9,0.2,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
4,0.35,0.9,0.25,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
5,0.35,0.9,0.3,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
6,0.35,0.9,0.35,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
7,0.4,0.9,0.1,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
8,0.4,0.9,0.15,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
9,0.4,0.9,0.2,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
10,0.4,0.9,0.25,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
11,0.4,0.9,0.3,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
12,0.4,0.9,0.35,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
13,0.45,0.9,0.1,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
14,0.45,0.9,0.15,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
15,0.45,0.9,0.2,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
16,0.45,0.9,0.25,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
17,0.45,0.9,0.3,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
18,0.45,0.9,0.35,1.4874999999999998,0.9958333333333333,0.004166666666666667,0.0,0.9983333333333333,1.0,0.5,0.5,0.0
19,0.5,0.9,0.1,1.4849999999999999,0.9958333333333333,0.0033333333333333335,0.0008333333333333334,0.9983333333333333,1.0,0.5,0.5,0.0
20,0.5,0.9,0.15,1.4849999999999999,0.9958333333333333,0.0033333333333333335,0.0008333333333333334,0.9983333333333333,1.0,0.5,0.5,0.0
