temperature,objective,cal_nll,eval_ece,eval_pos_top1_mean,eval_pos_top1_p95,eval_pos_diag_rate,eval_pos_uncertain_rate,eval_pos_invalid_rate,eval_pos_diag_acc,eval_pos_overall_acc,eval_neg_diag_rate,eval_neg_uncertain_rate,eval_neg_invalid_rate,eval_neg_top1_mean,eval_neg_top1_p95
2.2,0.791607330310732,0.023838788270950317,0.017795932319341175,0.9819771647453308,0.9998514652252197,0.9767441860465116,0.014396456256921373,0.008859357696566999,1.0,0.9977851605758582,0.37398373983739835,0.2899728997289973,0.33604336043360433,0.7836229205131531,0.9991763234138489
2.15,0.810697140221579,0.022286392748355865,0.016361340731877425,0.9834392070770264,0.9998826384544373,0.9800664451827242,0.012181616832779624,0.007751937984496124,1.0,0.9977851605758582,0.38482384823848237,0.2981029810298103,0.3170731707317073,0.788466215133667,0.9993194937705994
2.1,0.8347537306464577,0.020830577239394188,0.015016619648252214,0.9848121404647827,0.9999075531959534,0.9811738648947951,0.012181616832779624,0.006644518272425249,1.0,0.9977851605758582,0.3983739837398374,0.3062330623306233,0.2953929539295393,0.7933368682861328,0.9994426369667053
2.05,0.8432633744878794,0.019468948245048523,0.013759643598516386,0.9860979318618774,0.9999281167984009,0.9811738648947951,0.012181616832779624,0.006644518272425249,1.0,0.9977851605758582,0.4037940379403794,0.3062330623306233,0.2899728997289973,0.7982343435287476,0.9995477795600891
2.0,0.8681175912225253,0.018198858946561813,0.01258853520137791,0.9872989654541016,0.9999445676803589,0.9833887043189369,0.009966777408637873,0.006644518272425249,1.0,0.9977851605758582,0.4173441734417344,0.3116531165311653,0.27100271002710025,0.8031578063964844,0.999636709690094
1.95,0.8916141600304008,0.01701764017343521,0.011500898884776423,0.9884172677993774,0.999958336353302,0.9844961240310077,0.009966777408637873,0.005537098560354375,1.0,0.9977851605758582,0.43360433604336046,0.3008130081300813,0.26558265582655827,0.8081066012382507,0.999711275100708
1.9,0.9113339518694427,0.015922361984848976,0.009565831220823268,0.9894555807113647,0.9999688267707825,0.9844961240310077,0.009966777408637873,0.005537098560354375,1.0,0.9977851605758582,0.4444444444444444,0.3062330623306233,0.24932249322493225,0.8130797743797302,0.9997732639312744
1.85,0.923421405418539,0.014910019934177399,0.008644707872225993,0.9904165863990784,0.9999776482582092,0.9867109634551495,0.007751937984496124,0.005537098560354375,1.0,0.9977851605758582,0.45257452574525747,0.3008130081300813,0.24661246612466126,0.8180761337280273,0.999824047088623
1.8,0.9438990550070727,0.013977369293570518,0.0077989142994548,0.9913034439086914,0.9999839663505554,0.9878183831672204,0.007751937984496124,0.004429678848283499,1.0,0.9977851605758582,0.46612466124661245,0.2953929539295393,0.23848238482384823,0.8230943083763123,0.9998647570610046
1.75,0.9618222142383597,0.0131212268024683,0.007025677599384143,0.9921189546585083,0.9999887347221375,0.9878183831672204,0.007751937984496124,0.004429678848283499,1.0,0.9977851605758582,0.47696476964769646,0.2926829268292683,0.23035230352303523,0.8281329274177551,0.9998965263366699
