temperature,objective,cal_nll,eval_ece,eval_pos_top1_mean,eval_pos_top1_p95,eval_pos_diag_rate,eval_pos_uncertain_rate,eval_pos_invalid_rate,eval_pos_diag_acc,eval_pos_overall_acc,eval_neg_diag_rate,eval_neg_uncertain_rate,eval_neg_invalid_rate,eval_neg_top1_mean,eval_neg_top1_p95
3.2,0.5879269318782886,0.0767749696969986,0.06984567963220972,0.9296519756317139,0.9960715770721436,0.7686170212765957,0.2074468085106383,0.023936170212765957,1.0,0.9973404255319149,0.22493224932249323,0.27371273712737126,0.5013550135501355,0.6927561163902283,0.9888424277305603
3.1,0.6029057371339077,0.06957358121871948,0.0632659208742862,0.9362489581108093,0.9968752861022949,0.800531914893617,0.18085106382978725,0.018617021276595744,1.0,0.9973404255319149,0.24119241192411925,0.27100271002710025,0.4878048780487805,0.7013304829597473,0.9907510280609131
3.0,0.625067796989988,0.06281512975692749,0.05701860571478276,0.9425144791603088,0.997549831867218,0.8351063829787234,0.14760638297872342,0.017287234042553192,1.0,0.9973404255319149,0.2601626016260163,0.25745257452574527,0.4823848238482385,0.710016667842865,0.9924251437187195
2.9,0.6346023516588994,0.056506332010030746,0.051117508414577933,0.9484348893165588,0.9981089234352112,0.8590425531914894,0.125,0.015957446808510637,1.0,0.9973404255319149,0.2682926829268293,0.26558265582655827,0.46612466124661245,0.7188156843185425,0.9938778877258301
2.8,0.661392886163865,0.05065164715051651,0.04557455988957527,0.953998327255249,0.9985695481300354,0.886968085106383,0.10106382978723404,0.011968085106382979,1.0,0.9973404255319149,0.2899728997289973,0.2601626016260163,0.44986449864498645,0.7277283668518066,0.9951238036155701
2.7,0.692847310986239,0.04525300860404968,0.04039919408077889,0.9591955542564392,0.9989438652992249,0.9029255319148937,0.08643617021276596,0.010638297872340425,1.0,0.9973404255319149,0.3143631436314363,0.24119241192411925,0.4444444444444444,0.7367556095123291,0.9961784482002258
2.6,0.7126056352628485,0.04030977189540863,0.03559852458853671,0.9640195965766907,0.9992425441741943,0.9188829787234043,0.07047872340425532,0.010638297872340425,1.0,0.9973404255319149,0.32791327913279134,0.24119241192411925,0.43089430894308944,0.7458982467651367,0.9970581531524658
2.5,0.7334706060019675,0.03581836074590683,0.03117659442285274,0.9684662222862244,0.9994733333587646,0.9348404255319149,0.05585106382978723,0.009308510638297872,1.0,0.9973404255319149,0.34146341463414637,0.24932249322493225,0.4092140921409214,0.7551565766334534,0.9977802634239197
2.4,0.7532059953499523,0.03177238255739212,0.027134689244818183,0.9725345969200134,0.9996444582939148,0.9507978723404256,0.0398936170212766,0.009308510638297872,1.0,0.9973404255319149,0.3523035230352303,0.26287262872628725,0.38482384823848237,0.7645306587219238,0.9983622431755066
2.3,0.7773946093915063,0.02816249243915081,0.02347087297350802,0.9762266278266907,0.9997678399085999,0.9574468085106383,0.03324468085106383,0.009308510638297872,1.0,0.9973404255319149,0.36585365853658536,0.27371273712737126,0.3604336043360434,0.7740198969841003,0.9988217949867249
