accuracy,loss,val_accuracy,val_loss
0.7364618182182312,0.8743130564689636,0.8279569745063782,0.5451662540435791
0.8576343655586243,0.45656460523605347,0.8599393367767334,0.4250098466873169
0.8875662088394165,0.3621094524860382,0.8847532272338867,0.35885295271873474
0.9066951274871826,0.3078329265117645,0.8913702964782715,0.33645913004875183
0.9152274131774902,0.2712092697620392,0.901847243309021,0.3070818781852722
0.9273377656936646,0.24214954674243927,0.8988144397735596,0.3009140193462372
0.9340810775756836,0.21982157230377197,0.9068100452423096,0.27743402123451233
0.9405490756034851,0.1981281191110611,0.9134270548820496,0.26608672738075256
0.9464666843414307,0.1819562315940857,0.9161841869354248,0.25400322675704956
0.9529346823692322,0.1671428382396698,0.9161841869354248,0.2548448145389557
0.9561687111854553,0.15469138324260712,0.9214226603507996,0.23816128075122833
0.9593339562416077,0.14400064945220947,0.9219740629196167,0.2341928333044052
0.9642193913459778,0.1334301084280014,0.9194927215576172,0.2393040955066681
0.967246949672699,0.12476212531328201,0.9194927215576172,0.24134449660778046
0.9693800210952759,0.11414499580860138,0.9225255250930786,0.22315403819084167
0.9728893041610718,0.1058717891573906,0.9211469292640686,0.2296658754348755
0.9748159646987915,0.09945553541183472,0.9225255250930786,0.22225460410118103
0.9779123663902283,0.09153814613819122,0.9241797924041748,0.22001659870147705
0.9802518486976624,0.08542443811893463,0.92555832862854,0.22255338728427887
0.982660174369812,0.07929959893226624,0.9261097311973572,0.2179812490940094
0.983829915523529,0.07304370403289795,0.9263854622840881,0.21407119929790497
0.9861006140708923,0.0686097964644432,0.9263854622840881,0.22349509596824646
0.9878896474838257,0.06340773403644562,0.9263854622840881,0.21406492590904236
0.98878413438797,0.058640122413635254,0.9252825975418091,0.2165037989616394
0.990160346031189,0.0553751103579998,0.9261097311973572,0.2154761254787445
0.9928438663482666,0.05046876147389412,0.9285911321640015,0.2175939679145813
0.9940136075019836,0.04513125121593475,0.9236283302307129,0.22520509362220764
0.9936007857322693,0.04366127401590347,0.9283154010772705,0.21630112826824188
0.9947017431259155,0.03906392678618431,0.9307968020439148,0.2150130569934845
0.9955962300300598,0.03712331876158714,0.9316239356994629,0.2170238196849823
0.9967659711837769,0.03380145877599716,0.9294182658195496,0.2208617776632309
0.9973164796829224,0.030306870117783546,0.9283154010772705,0.22660201787948608
0.9981421828269958,0.02829749695956707,0.9283154010772705,0.23097246885299683
0.9973164796829224,0.027044717222452164,0.9283154010772705,0.2187696099281311
0.9984173774719238,0.024026555940508842,0.9288668036460876,0.2221573293209076
0.9986238479614258,0.022380927577614784,0.9269368648529053,0.22894950211048126
0.9990366697311401,0.019846072420477867,0.9283154010772705,0.22914524376392365
0.9993807077407837,0.01807847060263157,0.9299696683883667,0.23071664571762085
0.9993119239807129,0.017213881015777588,0.9288668036460876,0.23109479248523712
0.9995183348655701,0.015647733584046364,0.9277639985084534,0.23816074430942535
0.9994495511054993,0.01469403225928545,0.92555832862854,0.2440928816795349
0.9997935891151428,0.012799025513231754,0.9291425347328186,0.23423370718955994
0.9998623728752136,0.012389929965138435,0.9285911321640015,0.2477012723684311
0.9997247457504272,0.011017520911991596,0.9299696683883667,0.2327962964773178
1.0,0.009672715328633785,0.9310725331306458,0.23856952786445618
1.0,0.008501200936734676,0.9285911321640015,0.24831777811050415
1.0,0.007881690748035908,0.9291425347328186,0.24626685678958893
0.9996559619903564,0.008363474160432816,0.9283154010772705,0.25978797674179077
1.0,0.006649396847933531,0.9307968020439148,0.25212132930755615
1.0,0.005818679928779602,0.9294182658195496,0.25797003507614136
