ShuffleNet V2 Baseline Model Comparison
Date,2026-01-12 02:32:47
Transfer Learning,DISABLED
Data Augmentation,DISABLED

Model,Accuracy,Precision_W,Recall_W,F1_W,Precision_M,Recall_M,F1_M,Parameters
0.5x,0.974945,0.975046,0.974945,0.974927,0.966647,0.964657,0.965542,359994
1.0x,0.995595,0.995616,0.995595,0.995596,0.994190,0.993930,0.994045,1280034
1.5x,0.997247,0.997245,0.997247,0.997243,0.996583,0.995631,0.996102,2512314
2.0x,0.996145,0.996147,0.996145,0.996138,0.995260,0.994471,0.994851,5399202
