epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.8030699491500854,0.009999999776482582,0.5885331630706787,0.8697687387466431,0.3714885413646698
1,0.8854625821113586,0.009999999776482582,0.3415450155735016,0.8915198445320129,0.3212057650089264
2,0.9018447399139404,0.009999999776482582,0.2939291000366211,0.895649790763855,0.3114595115184784
3,0.9146475791931152,0.009999999776482582,0.253848671913147,0.8769273161888123,0.35431361198425293
4,0.9217373132705688,0.009999999776482582,0.23630313575267792,0.909140944480896,0.26849159598350525
5,0.9264867901802063,0.009999999776482582,0.2177361696958542,0.9118942618370056,0.2592015564441681
6,0.9335765242576599,0.009999999776482582,0.20170418918132782,0.9028083682060242,0.294397234916687
7,0.934609055519104,0.009999999776482582,0.191851407289505,0.9171255230903625,0.24788977205753326
8,0.9381883144378662,0.009999999776482582,0.17948780953884125,0.9176762104034424,0.24556945264339447
9,0.9432131052017212,0.009999999776482582,0.16772663593292236,0.9151982665061951,0.24719101190567017
10,0.9480313658714294,0.009999999776482582,0.15902593731880188,0.91629958152771,0.25051063299179077
11,0.9467924237251282,0.009999999776482582,0.1551876664161682,0.9039096832275391,0.2863464057445526
12,0.9526431560516357,0.009999999776482582,0.1465795636177063,0.9149228930473328,0.2424338459968567
13,0.953331470489502,0.009999999776482582,0.1408335417509079,0.922081470489502,0.2370300143957138
14,0.9550523161888123,0.009999999776482582,0.13914915919303894,0.9231828451156616,0.2296776920557022
15,0.9562224745750427,0.009999999776482582,0.13369746506214142,0.920429527759552,0.24798128008842468
16,0.9605588912963867,0.009999999776482582,0.12489176541566849,0.922081470489502,0.2352232187986374
17,0.9635187387466431,0.009999999776482582,0.12013059109449387,0.9207048416137695,0.23956672847270966
18,0.9634498953819275,0.009999999776482582,0.1195763349533081,0.9256607890129089,0.22187648713588715
19,0.96317458152771,0.009999999776482582,0.11908052861690521,0.9248347878456116,0.22964423894882202
20,0.976459264755249,0.0010000000474974513,0.09239374101161957,0.9278634190559387,0.2155947983264923
21,0.9767345786094666,0.0010000000474974513,0.09046173840761185,0.9292401075363159,0.21358323097229004
22,0.9784554243087769,0.0010000000474974513,0.08939291536808014,0.9306167364120483,0.2146730124950409
23,0.977904736995697,0.0010000000474974513,0.08932852745056152,0.9278634190559387,0.21491259336471558
24,0.9783865809440613,0.0010000000474974513,0.08892110735177994,0.928138792514801,0.2165231704711914
25,0.9788683652877808,0.0010000000474974513,0.08843470364809036,0.9286894202232361,0.21579749882221222
26,0.9790060520172119,0.0010000000474974513,0.08862348645925522,0.9286894202232361,0.2136385589838028
27,0.9794878959655762,0.0010000000474974513,0.08776252716779709,0.9275881052017212,0.214762344956398
28,0.9790060520172119,0.0010000000474974513,0.08791125565767288,0.9295154213905334,0.21473351120948792
29,0.9792125821113586,0.0010000000474974513,0.08740998804569244,0.9289647340774536,0.21583417057991028
30,0.979350209236145,0.0010000000474974513,0.0874151960015297,0.9292401075363159,0.2179887294769287
31,0.9796943664550781,0.0010000000474974513,0.08665470778942108,0.929790735244751,0.21632203459739685
32,0.9794878959655762,0.0010000000474974513,0.08672143518924713,0.9303414225578308,0.21442574262619019
33,0.979350209236145,0.0010000000474974513,0.08643551170825958,0.929790735244751,0.21356044709682465
34,0.9809333682060242,0.0010000000474974513,0.08603110909461975,0.9273127913475037,0.21502545475959778
35,0.9796943664550781,0.0010000000474974513,0.0860796570777893,0.9286894202232361,0.21433766186237335
36,0.9804515242576599,0.0010000000474974513,0.08582866191864014,0.929790735244751,0.21634067595005035
37,0.9805203676223755,0.0010000000474974513,0.08559674769639969,0.9286894202232361,0.21592359244823456
38,0.9809333682060242,0.0010000000474974513,0.08542446792125702,0.9295154213905334,0.2138190120458603
39,0.9803138971328735,0.0010000000474974513,0.08511017262935638,0.9292401075363159,0.2126207947731018
40,0.9818282127380371,9.999999747378752e-05,0.08319684863090515,0.929790735244751,0.2130715250968933
41,0.9823099970817566,9.999999747378752e-05,0.0830489918589592,0.9303414225578308,0.21336854994297028
42,0.9823099970817566,9.999999747378752e-05,0.08303789794445038,0.9295154213905334,0.2132907211780548
43,0.9824476838111877,9.999999747378752e-05,0.08299422264099121,0.9292401075363159,0.21324320137500763
44,0.9819658398628235,9.999999747378752e-05,0.08293716609477997,0.9300661087036133,0.2133329063653946
45,0.9823788404464722,9.999999747378752e-05,0.08295559138059616,0.9306167364120483,0.21320247650146484
46,0.9820346832275391,9.999999747378752e-05,0.08289492875337601,0.9306167364120483,0.21324481070041656
47,0.9824476838111877,9.999999747378752e-05,0.08290151506662369,0.9303414225578308,0.21363608539104462
48,0.9826542139053345,9.999999747378752e-05,0.0828983262181282,0.9303414225578308,0.2134680449962616
49,0.9822412133216858,9.999999747378752e-05,0.08290325850248337,0.9300661087036133,0.21329236030578613
