epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.6376652121543884,0.009999999776482582,1.0601505041122437,0.20319382846355438,2.4451100826263428
1,0.8238573670387268,0.009999999776482582,0.5169713497161865,0.7417401075363159,1.0224299430847168
2,0.874793529510498,0.009999999776482582,0.3635450303554535,0.7511013150215149,0.7509845495223999
3,0.9065941572189331,0.009999999776482582,0.2699752449989319,0.7665198445320129,0.8908447623252869
4,0.9296531081199646,0.009999999776482582,0.205902099609375,0.7789096832275391,0.7025469541549683
5,0.9417676329612732,0.009999999776482582,0.16575105488300323,0.5696585774421692,3.399954080581665
6,0.9559471607208252,0.009999999776482582,0.1328851580619812,0.39895373582839966,4.185564994812012
7,0.9596641063690186,0.009999999776482582,0.11846679449081421,0.9014317393302917,0.3176848292350769
8,0.9686811566352844,0.009999999776482582,0.09074424207210541,0.9542951583862305,0.14193333685398102
9,0.9757709503173828,0.009999999776482582,0.07147041708230972,0.8463656306266785,0.5419328808784485
10,0.9770098924636841,0.009999999776482582,0.067324198782444,0.8158039450645447,0.7112169861793518
11,0.9876101613044739,0.009999999776482582,0.038293320685625076,0.32791849970817566,8.340226173400879
12,0.9857516288757324,0.009999999776482582,0.04509563371539116,0.9427312612533569,0.19827140867710114
13,0.984581470489502,0.009999999776482582,0.04492081329226494,0.9322687387466431,0.272289901971817
14,0.9871283173561096,0.009999999776482582,0.036918409168720245,0.8821585774421692,0.40999603271484375
15,0.9864400029182434,0.009999999776482582,0.04218555614352226,0.9363986849784851,0.2093178629875183
16,0.9913271069526672,0.009999999776482582,0.026698434725403786,0.8832598924636841,0.45039504766464233
17,0.993529736995697,0.009999999776482582,0.02191966213285923,0.9306167364120483,0.26081961393356323
18,0.9916712641716003,0.009999999776482582,0.02748696692287922,0.9328193664550781,0.2219875454902649
19,0.9944933652877808,0.009999999776482582,0.017243415117263794,0.9595264196395874,0.14058655500411987
20,0.9977973699569702,0.0010000000474974513,0.006971502210944891,0.9774228930473328,0.07420133799314499
21,0.998554527759552,0.0010000000474974513,0.004377108998596668,0.9790748953819275,0.07142654806375504
22,0.9995869994163513,0.0010000000474974513,0.0031508186366409063,0.9779735803604126,0.06956665962934494
23,0.9991739988327026,0.0010000000474974513,0.003230312606319785,0.9801762104034424,0.06800978630781174
24,0.9996558427810669,0.0010000000474974513,0.0025774494279175997,0.9790748953819275,0.06805123388767242
25,0.9997246861457825,0.0010000000474974513,0.0022746496833860874,0.979350209236145,0.06922689825296402
26,0.9995181560516357,0.0010000000474974513,0.0026205340400338173,0.9807268977165222,0.06967312842607498
27,0.9998623132705688,0.0010000000474974513,0.0016699039842933416,0.9810022115707397,0.0696636438369751
28,0.9994493126869202,0.0010000000474974513,0.00214390829205513,0.979350209236145,0.06716776639223099
29,0.9996558427810669,0.0010000000474974513,0.00217121047899127,0.9807268977165222,0.06680524349212646
30,0.9996558427810669,0.0010000000474974513,0.0022441616747528315,0.9779735803604126,0.06879245489835739
31,0.9997246861457825,0.0010000000474974513,0.0021971683017909527,0.979350209236145,0.06803292781114578
32,0.9993805289268494,0.0010000000474974513,0.0024725315161049366,0.9790748953819275,0.06748515367507935
33,0.9999311566352844,0.0010000000474974513,0.0016636938089504838,0.9799008965492249,0.06634478271007538
34,0.9998623132705688,0.0010000000474974513,0.0018859176198020577,0.9807268977165222,0.06775694340467453
35,0.9998623132705688,0.0010000000474974513,0.0015167100355029106,0.9799008965492249,0.06792083382606506
36,1.0,0.0010000000474974513,0.001247235108166933,0.9807268977165222,0.06728917360305786
37,0.9997246861457825,0.0010000000474974513,0.0016998504288494587,0.9796255230903625,0.06836379319429398
38,0.9998623132705688,0.0010000000474974513,0.0014353469014167786,0.9804515242576599,0.06764905899763107
39,0.999793529510498,0.0010000000474974513,0.0015389265026897192,0.979350209236145,0.06771431863307953
40,0.999793529510498,9.999999747378752e-05,0.001310136984102428,0.9804515242576599,0.06713651865720749
41,0.9997246861457825,9.999999747378752e-05,0.0017219360452145338,0.9804515242576599,0.06756538152694702
42,0.9999311566352844,9.999999747378752e-05,0.0012499792501330376,0.9804515242576599,0.0678054615855217
43,0.9995869994163513,9.999999747378752e-05,0.0022831782698631287,0.9804515242576599,0.06784434616565704
44,0.9998623132705688,9.999999747378752e-05,0.0014607806224375963,0.9801762104034424,0.0672927051782608
45,0.9997246861457825,9.999999747378752e-05,0.0013069246197119355,0.979350209236145,0.06830444931983948
46,0.9997246861457825,9.999999747378752e-05,0.0014536852249875665,0.9804515242576599,0.06735888868570328
47,0.9998623132705688,9.999999747378752e-05,0.001533848699182272,0.9799008965492249,0.0674125999212265
48,1.0,9.999999747378752e-05,0.0010911106364801526,0.9796255230903625,0.06802935898303986
49,0.999793529510498,9.999999747378752e-05,0.0013723821612074971,0.979350209236145,0.06822049617767334
