epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.5258033871650696,0.009999999776482582,1.6350443363189697,0.39978212118148804,1.9387986660003661,01,0.7297113537788391,0.009999999776482582,1.1673320531845093,0.7015250325202942,1.2408701181411742,02,0.8099809288978577,0.009999999776482582,0.9916253685951233,0.8257080316543579,1.0071580410003663,03,0.850354015827179,0.009999999776482582,0.8904737234115601,0.7660675644874573,1.07528221607208254,4,0.8693491220474243,0.009999999776482582,0.8511746525764465,0.8534858226776123,0.88841688632965095,5,0.8966503143310547,0.009999999776482582,0.7901282906532288,0.8562091588973999,0.89831048250198366,6,0.9112200140953064,0.009999999776482582,0.7584424018859863,0.8872548937797546,0.81413823366165167,0.9238153696060181,0.009999999776482582,0.7290960550308228,0.9055010676383972,0.7636367678642273
8,8,0.9324618577957153,0.009999999776482582,0.7139732837677002,0.9046840667724609,0.7710378766059879,09,0.9394063353538513,0.009999999776482582,0.6914001107215881,0.9256535768508911,0.721706807613310,0.10,0.94471675157547,0.009999999776482582,0.6760426759719849,0.9251089096069336,0.713868319988211,0.11,0.9508442282676697,0.009999999776482582,0.6636290550231934,0.897331178188324,0.7825207710266113
12,0.9540441036224365,0.009999999776482582,0.6571573615074158,0.9180282950401306,0.724381148815155
13,0.9584695100784302,0.009999999776482582,0.6445133686065674,0.9185729622840881,0.7324730157852173
14,0.9638480544090271,0.009999999776482582,0.6340287923812866,0.9185729622840881,0.7201727032661438
15,0.9652097225189209,0.009999999776482582,0.63025963306427,0.9496187567710876,0.65275138616561816,16,0.9697712659835815,0.009999999776482582,0.6185094714164734,0.9498910903930664,0.66203463077545117,17,0.9703159332275391,0.009999999776482582,0.6173078417778015,0.9409041404724121,0.67985272407531718,18,0.9716775417327881,0.009999999776482582,0.6113497614860535,0.9330065250396729,0.692465066909791919,0.9749455451965332,0.009999999776482582,0.6025453209877014,0.9515250325202942,0.65685474872589120,20,0.9834558963775635,0.0010000000474974513,0.5829014778137207,0.9694989323616028,0.6077311038970921,021,0.9865877032279968,0.0010000000474974513,0.5737377405166626,0.9738562107086182,0.6003757119178722,0.9876089096069336,0.0010000000474974513,0.5738732218742371,0.9724945425987244,0.6008100509643555
23,0.9892429113388062,0.0010000000474974513,0.5700498819351196,0.9697712659835815,0.6053251624107361
24,0.9880174398422241,0.0010000000474974513,0.5716776847839355,0.9733115434646606,0.601004421710968
25,0.9890386462211609,0.0010000000474974513,0.5697697401046753,0.9722222089767456,0.5997267365455627
26,0.9899237751960754,0.0010000000474974513,0.5692678689956665,0.9722222089767456,0.6016078591346741
27,0.9903322458267212,0.0010000000474974513,0.5664315819740295,0.9708605408668518,0.6100836992263794
28,0.9897195100784302,0.0010000000474974513,0.5676129460334778,0.9716775417327881,0.6000659465789795
29,0.9922385811805725,0.0010000000474974513,0.5640368461608887,0.9719498753547668,0.6029573082923889
30,0.9903322458267212,0.0010000000474974513,0.5661172270774841,0.9757625460624695,0.5945946574211121
31,0.9917619824409485,0.0010000000474974513,0.5643941760063171,0.9722222089767456,0.5972751975059509
32,0.9912853837013245,0.0010000000474974513,0.5629906058311462,0.9730392098426819,0.6001553535461426
333,0.9907407164573669,0.0010000000474974513,0.5648860931396484,0.970588207244873,0.60177069902420043434,0.9906045794487,0.0010000000474974513,0.5634830594062805,0.975217878818512,0.5951756238937378
35,0.9912853837013245,0.0010000000474974513,0.5649465918540955,0.9738562107086182,0.5960754156112671
336,0.99278324842453,0.0010000000474974513,0.5619361996650696,0.9727668762207031,0.5990132093429565
37,0.9919662475585938,0.0010000000474974513,0.5624080300331116,0.9741285443305969,0.5987662076950073
38,0.992306649684906,0.0010000000474974513,0.5611326694488525,0.9760348796844482,0.5894196033477783
39,0.9918981194496155,0.0010000000474974513,0.5627206563949585,0.9765795469284058,0.5912713408470154
40,0.9918981194496155,9.999999747378752e-05,0.5621868371963501,0.9738562107086182,0.5938999652862549
41,0.9934640526771545,9.999999747378752e-05,0.5580313205718994,0.9754902124404907,0.5935791730880737
442,0.9930555820465088,9.999999747378752e-05,0.5588075518608093,0.975217878818512,0.5930447578430176
443,0.9926470518112183,9.999999747378752e-05,0.5593820810317993,0.9741285443305969,0.59343892335891724444,0.9932597875595093,9.999999747378752e-05,0.5599868297576904,0.9760348796844482,0.59236711263656624545,0.99278324842453,9.999999747378752e-05,0.5605489611625671,0.9749455451965332,0.5935430526733398
446,0.9940767884254456,9.999999747378752e-05,0.5594837665557861,0.975217878818512,0.592307984828949
47,0.99278324842453,9.999999747378752e-05,0.560858964920044,0.9749455451965332,0.5944575071334839
48,0.9936001896858215,9.999999747378752e-05,0.5586950182914734,0.9754902124404907,0.5929727554321289
49,0.9925109148025513,9.999999747378752e-05,0.5603607892990112,0.9744008779525757,0.5937337875366211

