accuracy,loss,val_accuracy,val_loss
0.7293057441711426,0.876197099685669,0.8257513046264648,0.5476406216621399
0.855363667011261,0.465597927570343,0.8615936040878296,0.4298194348812103
0.8853643536567688,0.3660919666290283,0.8814446926116943,0.3684500753879547
0.9017408490180969,0.3139899969100952,0.8869588971138,0.3361063301563263
0.9145393371582031,0.2751242220401764,0.9001929759979248,0.3166738450527191
0.9239661693572998,0.24662216007709503,0.901847243309021,0.309745192527771
0.9329801201820374,0.22273966670036316,0.9054315090179443,0.2844974994659424
0.9406867027282715,0.20218969881534576,0.9112213850021362,0.2724480628967285
0.9463978409767151,0.18595902621746063,0.9167355895042419,0.262459933757782
0.9510080218315125,0.17125600576400757,0.9228011965751648,0.24591386318206787
0.955549418926239,0.15775556862354279,0.9172869920730591,0.24976441264152527
0.9598156213760376,0.14705294370651245,0.9181141257286072,0.24115703999996185
0.9617422223091125,0.13655968010425568,0.9172869920730591,0.24088840186595917
0.9664900302886963,0.1262672394514084,0.9233526587486267,0.2311062067747116
0.970962643623352,0.11698141694068909,0.9214226603507996,0.2279990166425705
0.973095715045929,0.10895567387342453,0.9228011965751648,0.2266250103712082
0.9757104516029358,0.10215041041374207,0.9230769276618958,0.23768924176692963
0.9778435230255127,0.0940903052687645,0.9269368648529053,0.21985791623592377
0.9794949293136597,0.0875287875533104,0.9266611337661743,0.21829788386821747
0.9819032549858093,0.0816665068268776,0.9200441241264343,0.2375049889087677
0.9837610721588135,0.07640506327152252,0.9274882674217224,0.21440207958221436
0.9849996566772461,0.07033891975879669,0.9294182658195496,0.21930907666683197
0.9869263172149658,0.06523939222097397,0.9272125959396362,0.2189837098121643
0.98830246925354,0.061943113803863525,0.9280397295951843,0.22260916233062744
0.9909172058105469,0.05637092888355255,0.9261097311973572,0.22114257514476776
0.9902979135513306,0.05292806029319763,0.9283154010772705,0.2214088886976242
0.9916053414344788,0.04946790263056755,0.9208712577819824,0.23411628603935242
0.9932567477226257,0.04500289261341095,0.9327268004417419,0.21262136101722717
0.995802640914917,0.03975299745798111,0.9305210709571838,0.21753279864788055
0.9946328997612,0.038232482969760895,0.9250068664550781,0.2336345911026001
0.9961466789245605,0.03451206535100937,0.9285911321640015,0.219837948679924
0.997178852558136,0.03245052695274353,0.924455463886261,0.22747650742530823
0.9968348145484924,0.030262161046266556,0.9296939373016357,0.2248312383890152
0.9977293014526367,0.02747403085231781,0.9305210709571838,0.21833868324756622
0.9975916743278503,0.02592746540904045,0.9299696683883667,0.22440531849861145
0.9986238479614258,0.022821761667728424,0.9294182658195496,0.22521361708641052
0.9989678859710693,0.02124819904565811,0.9302453994750977,0.2264905422925949
0.9991055130958557,0.019722338765859604,0.9277639985084534,0.23626188933849335
